Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 0
Current messages : 71

Jun  2 2026 12:23:34 BoardLeaf2 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk3.1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk3)
Jun  2 2026 12:23:34 BoardLeaf2 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/5, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk3)
Jun  2 2026 12:23:34 BoardLeaf2 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk3, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk3)
Jun  2 2026 12:23:34 BoardLeaf2 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/3, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/3)
Jun  2 2026 12:23:34 BoardLeaf2 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/1, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/1)
Jun  2 2026 12:23:34 BoardLeaf2 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=GE1/0/0, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=GE1/0/0)
Jun  2 2026 12:14:31 BoardLeaf2 %%01SSHS/4/CALLHOME_RECORD(s):CID=0x8093753f;Callhome function maintenance information is collected. (Details =No active configuration present for callhome)
Jun  2 2026 12:14:11 BoardLeaf2 %%01SYSTEM/2/hwStorageUtilizationRisingAlarm_active(l):CID=0x80020028-alarmID=0x00010085;The storage usage exceeded the pre-set overload threshold. (TrapSeverity=4, ProbableCause=75265, EventType=3, PhysicalIndex=17891329, PhysicalName=MPU slot 17, RelativeResource=cfcard, UsageType=5, SubIndex=1, UsageValue=99, Unit=1, UsageThreshold=85)
Jun  2 2026 12:14:02 BoardLeaf2 %%01SNMP/4/SNMP_RESET(l):CID=0x80d50407;SNMP was switched to a new process.
Jun  2 2026 12:14:01 BoardLeaf2 %%01VTY/3/hwVtyExceed_active(l):CID=0x80c87541-alarmID=0x00f102ee;The number of available VTY channels is lower than the threshold. (currentLoginVTYs=0, totalVTYs=0)
Jun  2 2026 12:13:56 BoardLeaf2 %%01LCS/4/LCS_STATE_CHANGED(l):CID=0x802b03f4;License state changed from Default to Default.
